,RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,TD
401,363,"Garrett Smith, QB",ULM,108,250,2.3,28,2
402,363,"Ty Johnson, RB",MD,35,250,7.1,44,3
403,367,"Andre Flakes, RB",TROY,66,243,3.7,47,3
404,367,"Anthony Jones, WR",FIU,48,243,5.1,26,2
405,369,"Daniel Hamm, RB",UVA,57,242,4.2,53,1
406,369,"Jalen Rhodes, RB",UTSA,60,242,4.0,16,3
408,371,"Marcus Outlow, RB",BC,53,241,4.5,32,1
409,372,"Paxton Lynch, QB",MEM,82,240,2.9,23,2
410,372,"Taz Bateman, RB",GAST,47,240,5.1,24,1
411,374,"Matt Colburn, RB",WAKE,66,239,3.6,21,1
412,375,"Tony Brooks-James, RB",ORE,29,238,8.2,29,2
413,376,"Braxton Miller, WR",OSU,40,234,5.9,53,1
414,376,"Andy Janovich, FB",NEB,36,234,6.5,55,2
415,376,"Matt Linehan, QB",IDHO,91,234,2.6,34,5
416,376,"Ervin Philips, RB",SYR,41,234,5.7,31,3
417,380,"Rob Kelley, RB",TULN,65,232,3.6,43,1
419,RK,"Roc Thomas, RB",AUB,38,232,6.1,56,1
420,382,"Taylor Cox, RB",KU,79,231,2.9,26,2
421,383,"Jarred Craft, RB",LT,58,230,4.0,17,1
422,384,"Bryce Love, RB",STAN,28,228,8.1,48,2
423,385,"Sam Rogers, FB",VT,55,227,4.1,29,1
424,386,"Keith Harrington, RB",WSU,34,226,6.6,36,2
425,387,"Brenden Motley, QB",VT,88,224,2.5,22,3
426,388,"Garrett Brown, WR",AFA,29,220,7.6,63,1
427,389,"Melvin Davis, RB",HAW,59,218,3.7,18,6
428,390,"Ron Johnson, RB",CONN,87,216,2.5,29,4
430,391,"Drake Johnson, RB",MICH,48,213,4.4,20,3
431,392,"Michael Adkins II, RB",COLO,42,212,5.0,21,3
432,393,"Zac Brooks, RB",CLEM,37,211,5.7,35,3
433,393,"Eugene Brazley, RB",MISS,18,211,11.7,78,3
434,393,"Kilton Anderson, QB",FRES,51,211,4.1,35,5
435,396,"Remound Wright, RB",STAN,77,209,2.7,22,13
436,396,"Aaron Jones, RB",UTEP,32,209,6.5,91,1
437,398,"Nathan Peterman, QB",PITT,83,208,2.5,28,1
438,399,"Josh Rounds, RB",TULN,35,207,5.9,46,1
439,399,"Anthony Scott, RB",ECU,49,207,4.2,29,1
441,401,"Richard McQuarley, RB",UNM,44,207,4.7,44,7
442,402,"Maurice Thomas, RB",M-OH,18,206,11.4,77,0
443,403,"Ty Isaac, RB",MICH,30,205,6.8,76,1
444,404,"DeVontae McNeal, RB",ULM,56,204,3.6,43,2
445,404,"Dorian Brown, RB",OHIO,40,204,5.1,43,0
446,404,"Kavika Johnson, QB",UTEP,73,204,2.8,21,1
447,407,"Shadrach Thornton, RB",NCST,30,203,6.8,39,3
448,407,"Joe Walker, RB",ARMY,27,203,7.5,63,1
449,407,"Logan Moragne, RB",ARST,20,203,10.2,58,1
450,410,"Ashton Shumpert, RB",MSST,54,201,3.7,20,1
452,411,"Bolu Olorunfunmi, RB",UCLA,34,200,5.9,37,0
453,412,"Demond Brown, RB",NAVY,28,199,7.1,32,4
454,413,"Jeremiah Bryson, RB",MTSU,46,198,4.3,28,3
455,413,"Jon Hilliman, RB",BC,51,198,3.9,21,2
456,413,"Maleek Irons, RB",OHIO,33,198,6.0,44,4
457,413,"Jordan Asberry, RB",ARMY,25,198,7.9,31,0
458,417,"Andrew Allen, WR",NMSU,75,197,2.6,35,0
459,418,"Tyrell Clay, RB",UTSA,42,196,4.7,31,3
460,419,"Justice Hayes, RB",USM,45,195,4.3,35,2
461,420,"Cardale Jones, QB",OSU,64,193,3.0,38,2
463,421,"Brice Dolezal, RB",TA&M,38,191,5.0,33,1
464,422,"JD Sprague, QB",OHIO,42,190,4.5,16,0
465,423,"James White, RB",TA&M,50,189,3.8,24,1
466,423,"Treon Harris, QB",FLA,84,189,2.3,25,0
467,425,"Steven Lakalaka, RB",HAW,48,187,3.9,20,0
468,426,"Chuckie Keeton, QB",USU,47,186,4.0,52,1
469,426,"Prescott Line, RB",SMU,60,186,3.1,17,1
470,426,"Johnny McCrary, QB",VAN,70,186,2.7,29,2
471,426,"Anu Solomon, QB",ARIZ,61,186,3.0,31,2
472,430,"Tyler Hunt, RB",MIZ,42,185,4.4,72,1
474,RK,"Victor Bolden, WR",ORST,36,185,5.1,21,0
475,RK,"Brandon Harris, QB",LSU,64,185,2.9,33,3
476,433,"Marcus Clark, RB",FAU,37,184,5.0,40,1
477,433,"Kerryon Johnson, RB",AUB,46,184,4.0,19,2
478,433,"Jager Gardner, RB",TEM,32,184,5.8,94,1
479,436,"Darrin Laufasa, FB",UTEP,33,183,5.5,66,1
480,436,"Dallas Rivers, RB",VAN,60,183,3.1,16,1
481,438,"Devon Spalding, RB",CMU,52,182,3.5,42,1
482,439,"Broderick Snoddy, RB",GT,20,181,9.1,48,1
483,439,"Brandon Wilson, CB",HOU,33,181,5.5,18,2
485,441,"Parker Boehme, QB",DUKE,45,181,4.0,77,5
486,441,"Jordan Scarlett, RB",FLA,34,181,5.3,60,1
487,441,"Mike Majette, QB",IND,37,181,4.9,28,0
488,444,"Dakota Gordon, FB",SDSU,34,180,5.3,46,2
489,445,"Dakwa Nichols, RB",NCST,37,179,4.8,19,1
490,445,"Brandon Dawkins, QB",ARIZ,32,179,5.6,43,2
491,445,"Drue Harris, RB",ARMY,43,179,4.2,27,2
492,448,"Derrius Vick, QB",OHIO,93,177,1.9,37,1
493,448,"P.J. Walker, QB",TEM,71,177,2.5,38,2
494,450,"Chris Nutall, RB",TXST,35,176,5.0,18,4
496,451,"Trey Edmunds, RB",VT,45,174,3.9,35,2
497,452,"Alex Ross, RB",OKLA,30,173,5.8,54,1
498,452,"Nyheim Hines, WR",NCST,35,173,4.9,38,1
499,454,"Paul Lucas, WR",ORST,23,172,7.5,76,0
500,455,"Devan Demas, RB",BSU,29,171,5.9,47,2
501,455,"Marc Remy, RB",TOL,29,171,5.9,41,0
502,455,"C.J. Fuller, RB",CLEM,42,171,4.1,18,1
503,458,"George Naufahu, RB",UNLV,28,170,6.1,25,3
504,458,"David Hood, RB",TEM,42,170,4.0,17,1
505,460,"Isiah Willis, RB",GT,32,169,5.3,14,1
507,RK,"Boston Scott, RB",LT,30,169,5.6,19,0
508,RK,"Toneo Gulley, RB",NAVY,9,169,18.8,70,2
509,463,"Aeris Lavontae Williams, RB",MSST,37,167,4.5,17,2
510,464,"Marcus Allen, RB",GT,35,166,4.7,17,2
511,464,"Reggie Bonnafon, QB",LOU,39,166,4.3,29,0
512,464,"Ryquell Armstead, RB",TEM,43,166,3.9,16,2
513,467,"Zach Pascal, WR",ODU,15,165,11.0,75,1
514,467,"Xavier Hall, RB",NMSU,48,165,3.4,19,1
515,467,"Leonard Ross, RB",M-OH,50,165,3.3,20,0
516,470,"Tyler Williams, WR",AFA,29,163,5.6,21,0
518,471,"Lazedrick Thompson, RB",TULN,45,162,3.6,15,1
519,471,"Antwan Dixon, WR",KENT,11,162,14.7,75,2
520,473,"Driphus Jackson, QB",RICE,109,161,1.5,43,3
521,473,"Matthew Jordan, QB",GT,37,161,4.4,65,2
522,473,"John Kelly, RB",TENN,36,161,4.5,22,0
523,476,"Derrick Mitchell Jr., RB",IOWA,24,159,6.6,45,2
524,476,"Solomon Vault, RB",NW,55,159,2.9,15,0
525,478,"Ricardo Louis, WR",AUB,28,158,5.6,18,1
526,479,"Matt Johnson, QB",BGSU,105,157,1.5,23,4
527,479,"Derrick Green, RB",MICH,47,157,3.3,12,2
529,481,"Kyle Postma, QB",HOU,24,157,6.5,38,1
530,481,"Nick Smith, QB",WYO,45,157,3.5,20,2
531,483,"Kamani Thomas, RB",MTSU,23,156,6.8,26,3
532,483,"Kelly Bryant, QB",CLEM,23,156,6.8,59,2
533,485,"Vernon Adams Jr., QB",ORE,79,155,2.0,24,2
534,485,"Jehu Chesson, WR",MICH,8,155,19.4,66,2
535,485,"Corey Clement, RB",WIS,29,155,5.3,58,4
536,485,"Josh Boyd, RB",APP,41,155,3.8,15,0
537,485,"Damien Harris, RB",ALA,45,155,3.4,41,1
538,490,"L.J. Scott, RB",LOU,34,153,4.5,43,2
540,RK,"Ryan Graham, QB",NIU,59,153,2.6,38,0
541,492,"Sione Houma, FB",MICH,34,152,4.5,27,4
542,493,"Zack Mahoney, QB",SYR,41,151,3.7,30,2
543,494,"Daniel Brooks, RB",OKLA,28,150,5.4,22,0
544,495,"Brandon Polk, WR",PSU,15,149,9.9,33,1
545,496,"Nate Carter, RB",BYU,37,148,4.0,70,2
546,497,"Caleb Rowe, QB",MD,20,147,7.4,36,0
547,497,"Thomas Tucker, RB",SJSU,36,147,4.1,13,2
548,497,"Dontravious Wilson, OL",UCF,44,147,3.3,23,0
549,497,"Romello Ross, RB",CMU,35,147,4.2,17,3
551,RK,"Orlando Bradford, RB",ARIZ,36,147,4.1,32,3
552,502,"Papi White, RB",OHIO,25,146,5.8,58,2
553,503,"Trayone Gray, RB",MIA,23,145,6.3,33,2
554,504,"Aregeros Turner, WR",NIU,21,143,6.8,49,1
555,505,"Taylor Alie, QB",ORE,10,142,14.2,87,3
556,505,"Kwame Etwi, RB",TA&M,18,142,7.9,42,0
557,505,"Jeff Carr, RB",OKST,36,142,3.9,23,1
558,508,"Chris Brown, RB",ORST,32,141,4.4,26,1
559,508,"JP Caruso, QB",APP,19,141,7.4,34,0
560,510,"Mario Pender, RB",FSU,30,140,4.7,21,1
562,RK,"Brendan Douglas, RB",UGA,36,140,3.9,20,0
563,RK,"Chaz Thornton, RB",GASO,18,140,7.8,67,1
564,RK,"Justin Holman, QB",UCF,46,140,3.0,15,0
565,RK,"Jordan Cronkrite, RB",FLA,41,140,3.4,18,3
566,515,"Kody Cook, WR",KSU,55,139,2.5,32,2
567,516,"Perry Orth, QB",SC,53,138,2.6,66,2
568,516,"Deionte Gaines, WR",CSU,12,138,11.5,30,2
569,518,"Jake Rudock, QB",MICH,54,137,2.5,23,4
570,518,"Leon Allen, RB",WKU,27,137,5.1,28,2
571,518,"Lavon Coleman, FB",WASH,27,137,5.1,29,0
573,521,"Teddy Williamson, RB",BALL,40,136,3.4,12,0
574,521,"Zander Diamont, QB",IND,18,136,7.6,79,2
575,521,"Warren Redix, WR",UTEP,23,136,5.9,27,0
576,521,"Tk Powell, RB",UTEP,20,136,6.8,37,0
577,525,"Maty Mauk, QB",MIZ,36,135,3.8,24,1
578,525,"Dontavian DaShun Lee, RB",MSST,21,135,6.4,24,0
579,527,"Nick Holley, RB",KENT,34,133,3.9,16,0
580,528,"J.C. Coleman, RB",VT,40,132,3.3,10,1
581,528,"Curtis Samuel, RB",OSU,17,132,7.8,40,1
582,530,"David Washington, WR",ODU,40,131,3.3,22,0
584,RK,"Delaunte' Thornton, RB",USM,25,131,5.2,22,0
585,RK,"Alec Ingold, LB",WIS,49,131,2.7,26,6
586,533,"Demarcus Ayers, WR",HOU,19,130,6.8,53,1
587,533,"Calvin Cass Jr., RB",NAVY,14,130,9.3,44,1
588,535,"Nick Scott, RB",PSU,29,129,4.4,35,1
589,535,"Devine Ozigbo, RB",NEB,18,129,7.2,31,1
590,537,"R.J. Shelton, WR",MSU,24,127,5.3,19,0
591,537,"Nick Dylan Fitzgerald, QB",MSST,23,127,5.5,21,3
592,537,"Blake Decker, QB",UNLV,47,127,2.7,16,1
593,537,"Chico McClatcher, WR",WASH,15,127,8.5,28,3
595,RK,"Sihiem King, RB",UK,11,127,11.5,62,1
596,542,"Tago Smith, QB",NAVY,27,126,4.7,22,1
597,543,"Darmontre Warr, RB",WKU,35,124,3.5,16,2
598,544,"Daryl Chestnut, RB",UNM,14,122,8.7,64,2
599,544,"Bradan Smith, RB",CHAR,20,122,6.1,26,0
600,546,"Ryan Metz, QB",UTEP,33,121,3.7,16,1
601,547,"Isaiah Robinson, RB",WAKE,39,120,3.1,22,0
602,547,"Tyrone Owens, RB",UNM,21,120,5.7,65,3
603,549,"Christian Drake, RB",ARMY,14,119,8.5,47,1
604,550,"Reginald Bell, QB",EMU,39,118,3.0,29,0
606,551,"Matt Domer, RB",BGSU,8,117,14.6,95,1
607,552,"Brandon Allen, QB",ARK,54,116,2.1,22,1
608,552,"Will Grier, QB",FLA,36,116,3.2,38,2
609,554,"Greg Windham, QB",OHIO,26,114,4.4,14,0
610,554,"Sekai Lindsay, RB",UMASS,34,114,3.4,15,1
611,556,"Lynn Griffin, DB",GT,14,113,8.1,27,0
612,556,"Mose Frazier, WR",MEM,14,113,8.1,60,2
613,556,"Montell Cozart, QB",KU,45,113,2.5,20,1
614,559,"Alex Erickson, WR",WIS,7,111,15.9,56,0
615,559,"Corey Coleman, WR",BAY,22,111,5.0,24,0
617,561,"Pharoh Cooper, WR",SC,24,111,4.6,29,1
618,561,"Jeremy Johnson, QB",AUB,44,111,2.5,65,5
619,561,"Nate Romine, QB",AFA,22,111,5.0,45,1
620,561,"Johnathan Vickers, RB",FSU,23,111,4.8,26,1
621,561,"Chris Carter, QB",ARMY,20,111,5.6,45,1
622,566,"Damion Hobbs, QB",USU,20,110,5.5,33,1
623,566,"Malik Dear, WR",MSST,11,110,10.0,52,1
624,568,"Jeff Lockie, QB",ORE,31,109,3.5,35,0
625,568,"Charles Nelson, WR",ORE,4,109,27.3,75,1
626,568,"Marcus Jones, RB",NIU,8,109,13.6,73,1
628,571,"Rodrick Williams Jr, RB",MINN,33,108,3.3,12,1
629,572,"Tanner McEvoy, S",WIS,13,107,8.2,32,2
630,572,"Dami Ayoola, RB",USA,38,107,2.8,17,0
631,572,"William Crest Jr., QB",WVU,20,107,5.4,28,1
632,575,"Nick Patti, WR",UCF,30,106,3.5,16,2
633,576,"Anthon Samuel, RB",FIU,32,104,3.3,18,1
634,577,"Zach Terrell, QB",WMU,74,103,1.4,31,3
635,577,"Malik Zaire, QB",ND,19,103,5.4,39,0
636,579,"Anthony Davis, RB",WKU,25,102,4.1,28,1
637,579,"Devante McFarlane, RB",SYR,35,102,2.9,11,0
639,RK,"Kyle Allen, QB",TA&M,65,102,1.6,22,2
640,RK,"Myles Washington, RB",KENT,32,102,3.2,24,0
641,583,"Mitch Trubisky, QB",UNC,16,101,6.3,35,3
642,583,"Hansell Wilson, WR",SJSU,5,101,20.2,45,0
643,583,"Mark Allen, RB",PSU,28,101,3.6,28,1
644,583,"Aubrey Duty-Tyson, RB",AFA,24,101,4.2,12,1
645,587,"KaVontae Turpin, WR",TCU,15,100,6.7,17,0
646,587,"Ryan Schadler, WR",KU,20,100,5.0,23,0
647,589,"Luke Turner, RB",RICE,32,99,3.1,16,6
648,590,"Alonzo Moore, WR",NEB,13,98,7.5,19,0
650,RK,"C.J. Best, WR",TXST,16,98,6.1,16,1
651,RK,"John Fadule, QB",BC,39,98,2.5,25,0
652,593,"Shaun Wick, RB",WYO,43,97,2.3,24,1
653,593,"Dontreal Pruitt, QB",TROY,36,97,2.7,13,1
654,595,"Deontae Cooper, FB",WASH,15,96,6.4,11,1
655,595,"Chayce Crouch, QB",ILL,25,96,3.8,19,1
656,595,"Brandon Wimbush, QB",ND,7,96,13.7,58,1
657,598,"Alex McGough, QB",FIU,88,95,1.1,29,3
658,599,"Jake Coker, QB",ALA,61,94,1.5,26,2
659,599,"Tyler Brown, RB",ISU,24,94,3.9,34,0
661,601,"David Blough, QB",PUR,67,94,1.4,56,4
662,602,"Jordy Joseph, QB",TULN,19,93,4.9,20,0
663,602,"William Likely, DB",MD,11,93,8.5,43,0
664,602,"Tonny Lindsey, RB",USU,12,93,7.8,24,0
665,602,"Cody Clements, QB",USA,84,93,1.1,21,3
666,606,"Colin Reardon, QB",KENT,39,92,2.4,16,0
667,606,"Austin Appleby, QB",PUR,56,92,1.6,14,4
668,606,"Kaliq Kokuma, RB",HOU,18,92,5.1,19,0
669,606,"Malik Roberson, RB",SJSU,24,92,3.8,17,0
670,610,"Bri'onte Dunn, RB",OSU,14,91,6.5,19,1
672,RK,"Tyshon Dye, RB",CLEM,23,91,4.0,23,2
673,RK,"Isaiah McKenzie, WR",UGA,10,91,9.1,24,2
674,613,"Trey Anderson, QB",FIU,10,90,9.0,34,0
675,613,"Cory Young, RB",BSU,17,90,5.3,33,0
676,615,"Marquez Grayson, RB",ECU,13,88,6.8,44,0
677,616,"JD McKissic, WR",ARST,15,87,5.8,26,0
678,616,"James Flanders, RB",TLSA,21,87,4.1,13,0
679,616,"DeVante Kincade, QB",MISS,9,87,9.7,43,0
680,616,"Bo Scarbrough, RB",ALA,15,87,5.8,24,1
681,620,"Matt Johns, QB",UVA,61,86,1.4,25,1
683,RK,"Joshua Tapscott, RB",WYO,17,86,5.1,30,0
684,RK,"Riley Burt, RB",BYU,14,86,6.1,41,0
685,623,"Spencer McInnis, RB",M-OH,30,85,2.8,16,0
686,623,"Jared Cornelius, WR",ARK,5,85,17.0,69,1
687,623,"Richie James, WR",MTSU,10,85,8.5,27,0
688,626,"Bralon Addison, WR",ORE,17,84,4.9,13,2
689,626,"Ikaika Woolsey, QB",HAW,47,84,1.8,15,2
690,626,"Shawn White, FB",NAVY,19,84,4.4,17,1
691,626,"Kellen Overstreet, RB",WYO,16,84,5.3,16,1
692,630,"Brooks Haack, QB",ULL,46,83,1.8,22,2
694,RK,"Brandon Reilly, WR",NEB,10,83,8.3,20,0
695,RK,"Shawn Furlow, RB",ECU,25,83,3.3,27,0
696,633,"Tyler Campbell, RB",ARMY,13,82,6.3,12,0
697,634,"Dontae Strickland, RB",SYR,21,81,3.9,21,1
698,635,"Connor Cook, QB",MSU,45,80,1.8,22,0
699,635,"Ricky Fergerson, RB",APP,11,80,7.3,46,1
700,635,"Janarion Grant, WR",RUTG,8,80,10.0,29,0
701,635,"Chris Johnson, QB",BAY,25,80,3.2,17,1
702,639,"Ryan Tuiasoa, RB",HAW,18,79,4.4,20,0
703,639,"Jordan Whitehead, DB",PITT,10,79,7.9,18,2
705,641,"Dexter Williams, RB",ND,19,79,4.2,14,1
706,642,"Blake Martin, RB",LT,18,78,4.3,13,1
707,642,"Donovan Wilson, RB",BGSU,36,78,2.2,7,7
708,642,"Kendrick Foster, RB",ILL,15,78,5.2,18,1
709,642,"Nate German, QB",RICE,4,78,19.5,66,1
710,642,"Garrison Duncan, RB",CHAR,23,78,3.4,9,0
711,642,"Nick Mitchell, QB",ORST,35,78,2.2,16,1
712,642,"D.K. Buford, RB",MISS,7,78,11.1,38,1
713,649,"James Conner, RB",PITT,8,77,9.6,40,2
714,650,"Simms McElfresh, WR",APP,8,76,9.5,18,1
716,RK,"Darius Hoggins, RB",ULL,7,76,10.9,58,0
717,RK,"Nicodem Pierre, QB",DUKE,15,76,5.1,12,0
718,RK,"Qua Searcy, RB",GT,13,76,5.8,31,1
719,RK,"Winston Dimel, FB",KSU,27,76,2.8,12,5
720,RK,"P.J. Simmons, WR",KENT,13,76,5.8,22,0
721,656,"Andrew Tucker, RB",UNT,15,75,5.0,18,0
722,656,"Shadrach Abrokwah, RB",UMASS,11,75,6.8,25,0
723,656,"Kesean Strong, RB",ODU,27,75,2.8,9,1
724,659,"Mike Bercovici, QB",ASU,105,74,.7,34,6
725,659,"Mark Chapman, WR",CMU,9,74,8.2,19,1
727,RK,"Jordan Ellis, RB",UVA,24,74,3.1,39,2
728,662,"Darius Wade, QB",BC,22,73,3.3,17,0
729,662,"Richard Wilson, FB",BC,25,73,2.9,16,1
730,662,"Jake Luton, QB",IDHO,27,73,2.7,16,5
731,662,"Demarcus Felton, RB",TTU,5,73,14.6,53,1
732,666,"Taysom Hill, QB",BYU,9,72,8.0,35,2
733,666,"Jabrill Peppers, S",MICH,18,72,4.0,18,2
734,666,"Chad Banschbach, RB",CIN,19,72,3.8,20,0
735,669,"Earnest Carrington, QB",ULM,34,71,2.1,30,1
736,669,"Trever Ryen, WR",ISU,16,71,4.4,17,1
738,671,"Austin Grammer, QB",MTSU,18,70,3.9,19,1
739,671,"Jermichael Selders, RB",NMSU,14,70,5.0,15,0
740,671,"Jarrett Stidham, QB",BAY,36,70,1.9,16,2
741,674,"David Greene, RB",UNLV,11,69,6.3,28,0
742,674,"Trevor Knight, QB",OKLA,16,69,4.3,17,1
743,674,"Bo Hardy, RB",OHIO,5,69,13.8,37,0
744,674,"Dominic Davis, RB",USC,14,69,4.9,19,0
745,674,"Tim White, WR",ASU,2,69,34.5,59,0
746,679,"Jakeem Grant, WR",TTU,8,68,8.5,40,2
747,679,"Shane Williams-Rhodes, WR",BSU,10,68,6.8,24,1
749,681,"Andrew Wilson, RB",IND,23,68,3.0,15,1
750,681,"Ryan Wolpin, RB",BSU,11,68,6.2,22,0
751,681,"Johnathan Alston, WR",NCST,4,68,17.0,33,0
752,681,"Connor White, QB",TXST,16,68,4.3,19,0
753,681,"Jacob Hill, RB",SYR,18,68,3.8,14,0
754,686,"Tyler Matthews, QB",USM,8,67,8.4,29,1
755,686,"Brady Swilling, RB",GT,13,67,5.2,27,1
756,686,"John Wolford, QB",WAKE,73,67,.9,70,3
757,686,"Treyvon Hughes, RB",UTEP,25,67,2.7,19,0
758,690,"Lynx Hawthorne, WR",BAY,10,66,6.6,30,1
760,RK,"David Anaya, RB",UNM,17,66,3.9,16,1
761,RK,"Colten Christensen, RB",TCU,16,66,4.1,10,1
762,RK,"Shaun Nixon, RB",TCU,16,66,4.1,17,0
763,RK,"Tyler Rogers, QB",NMSU,29,66,2.3,40,1
764,695,"Henry Bussey, WR",FAU,14,65,4.6,16,0
765,695,"Noah Hickey, RB",GASO,9,65,7.2,46,0
766,695,"Darrel Colbert Jr., QB",SMU,30,65,2.2,12,0
767,695,"Nick Brossette, RB",LSU,12,65,5.4,10,0
768,699,"Patrick Towles, QB",UK,71,64,.9,33,5
769,699,"Michael Julian, QB",TOL,6,64,10.7,16,0
771,RK,"Ricky Brookins, RB",IND,7,64,9.1,40,0
772,RK,"Joe Young, RB",TENN,19,64,3.4,9,1
773,703,"Nicholas Norris, WR",WKU,6,63,10.5,24,1
774,703,"Traveon Samuel, WR",LOU,4,63,15.8,21,0
775,703,"D.J. Brown, RB",NIU,12,63,5.3,23,1
776,706,"Joe Kerridge, FB",MICH,14,62,4.4,34,1
777,706,"Marcus Caffey, RB",GAST,12,62,5.2,29,0
778,706,"Steven Bench, QB",USF,9,62,6.9,17,2
779,706,"Damien Haskins, RB",ORST,7,62,8.9,37,0
780,710,"Stedman Mayberry, RB",TXST,14,61,4.4,15,0
782,711,"Kendal Thompson, QB",UTAH,18,60,3.3,20,2
783,711,"Kenneth Goins Jr., RB",MD,9,60,6.7,42,1
784,711,"C.J. Davidson, RB",CLEM,22,60,2.7,11,0
785,711,"A.J. Ezzard, RB",UNT,14,60,4.3,12,1
786,711,"Jay Roberson, RB",CMU,18,60,3.3,19,0
787,711,"Van Edwards Jr., RB",AKR,14,60,4.3,12,0
788,711,"Jarrett Burgess, WR",PUR,3,60,20.0,29,1
789,718,"Malique Micenheimer, RB",FRES,18,59,3.3,24,0
790,718,"Jae'lon Oglesby, WR",MEM,6,59,9.8,31,0
791,718,"Antwane Grant, WR",WKU,2,59,29.5,59,1
793,721,"Roosevelt Davis, RB",UCLA,13,58,4.5,12,0
794,721,"Vegas Harley, QB",GASO,9,58,6.4,26,1
795,721,"Romell Jordan, RB",UNM,14,58,4.1,18,0
796,721,"Henry Enyenihi, RB",ILL,20,58,2.9,9,1
797,721,"TaQuon Marshall, RB",GT,8,58,7.3,18,0
798,726,"Joe Schobert, LB",WIS,1,57,57.0,57,0
799,726,"Corey Acker, WR",NW,5,57,11.4,31,0
800,726,"Gump Hayes, RB",ASU,16,57,3.6,16,0
801,726,"Ty'Son Williams, RB",UNC,19,57,3.0,8,0
802,730,"Aaron Grubb, WR",UTSA,12,56,4.7,11,0
804,RK,"Auston Anderson, RB",NW,11,56,5.1,22,0
805,RK,"Thadd Smith, WR",BC,9,56,6.2,18,0
806,RK,"Dalvin Warmack, RB",KSU,10,56,5.6,22,0
807,RK,"Nico Evans, RB",WYO,14,56,4.0,17,0
808,RK,"Dejonte O'Neal, RB",FRES,16,56,3.5,11,0
