,RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,TD
809,736,"Trent Sherfield, WR",VAN,4,55,13.8,34,0
810,736,"Jamire Jordan, WR",FRES,10,55,5.5,25,1
811,736,"Dwayne Lawson, QB",VT,14,55,3.9,10,1
812,739,"Carlos Henderson, WR",LT,5,54,10.8,19,0
813,739,"Elijah Wellman, TE",WVU,12,54,4.5,14,1
815,RK,"Anthony Miller, WR",MEM,9,54,6.0,15,2
816,RK,"Damion Terry, QB",MSU,20,54,2.7,14,0
817,RK,"Josh Crawford, RB",VAN,18,54,3.0,11,0
818,744,"Blake Frohnapfel, QB",UMASS,63,53,.8,22,1
819,744,"Michael Willett, OL",UCF,15,53,3.5,9,0
820,744,"Foster Sawyer, QB",TCU,14,53,3.8,11,0
821,744,"Caleb Henderson, QB",UNC,5,53,10.6,21,0
822,744,"Johnathan Hawkins, RB",BUFF,15,53,3.5,12,0
823,744,"Chason Virgil, QB",FRES,9,53,5.9,10,0
824,750,"Kyle Evans, RB",COLO,18,52,2.9,9,1
826,RK,"Christian Chapman, QB",SDSU,11,52,4.7,13,0
827,752,"Romar Morris, RB",UNC,9,51,5.7,15,1
828,752,"Cooper Rush, QB",CMU,58,51,.9,33,2
829,752,"Jarrod Lawson, RB",SJSU,15,51,3.4,10,0
830,752,"Connor Mitch, QB",SC,14,51,3.6,15,1
831,752,"Dameon Gamblin, WR",UNM,9,51,5.7,16,0
832,752,"Brogan Roback, QB",EMU,52,51,1.0,21,1
833,758,"Delton Williams, RB",MSU,24,50,2.1,6,1
834,758,"Shai McKenzie, RB",VT,13,50,3.8,11,0
835,758,"Hayden Moore, QB",CIN,52,50,1.0,19,2
837,761,"Jeffrey Coprich, RB",CAL,14,49,3.5,12,1
838,761,"Mack Leftwich, QB",UTEP,17,49,2.9,14,0
839,761,"Ronnie Moore, WR",BGSU,8,49,6.1,34,1
840,761,"Deron Thompson, RB",CSU,7,49,7.0,19,0
841,761,"Nick Jeanty, QB",NMSU,24,49,2.0,21,0
842,761,"Beau Hoge, QB",BYU,16,49,3.1,16,2
843,767,"Austin Apodaca, QB",UNM,30,48,1.6,15,0
844,767,"Tyler O'Connor, QB",MSU,14,48,3.4,11,0
845,767,"Tanner Gentry, WR",WYO,5,48,9.6,15,0
846,767,"Denzell Evans, RB",ARK,6,48,8.0,31,0
848,771,"Carlos Wiggins, WR",UNM,4,47,11.8,24,0
849,771,"Devin Rushing, RB",AFA,4,47,11.8,20,0
850,771,"Justen Hervey, RB",USU,14,47,3.4,7,1
851,774,"Marken Michel, WR",UMASS,7,46,6.6,22,0
852,774,"KJ Maye, WR",MINN,9,46,5.1,14,1
853,774,"Keevan Lucas, WR",TLSA,6,46,7.7,12,0
854,777,"Tevin Jones, WR",MEM,9,45,5.0,25,1
855,777,"Glenn Gronkowski, FB",KSU,11,45,4.1,11,1
856,777,"Drew Barker, QB",UK,25,45,1.8,17,1
857,777,"Devin Anderson, RB",ECU,5,45,9.0,17,0
859,RK,"Christian Kirk, WR",TA&M,10,45,4.5,11,0
860,RK,"Ruben Garnett, RB",MTSU,10,45,4.5,13,1
861,783,"Nate Terhune, DL",KENT,1,44,44.0,44,0
862,783,"Jonathan Haden, RB",ARIZ,7,44,6.3,14,0
863,783,"Kerry Thomas Jr., WR",UTSA,7,44,6.3,21,0
864,783,"Kirk Johnson, RB",TEX,8,44,5.5,32,0
865,787,"Zach Green, RB",ARIZ,7,43,6.1,17,0
866,787,"Donte Thomas-Williams, RB",WVU,14,43,3.1,12,0
867,787,"Jordan Gowins, RB",BC,15,43,2.9,15,0
868,787,"Chad President, QB",TLSA,17,43,2.5,29,0
870,791,"Tim Byerly, QB",GT,7,42,6.0,14,1
871,791,"Ryan Finley, QB",BSU,22,42,1.9,15,0
872,791,"Robert Davis, RB",MEM,9,42,4.7,28,0
873,791,"Johnathan Thomas, RB",PSU,11,42,3.8,11,0
874,791,"Jomon Dotson, FB",WASH,18,42,2.3,9,0
875,791,"Taylor Martin, RB",KU,16,42,2.6,9,0
876,791,"Tommy Fiedler, QB",NIU,17,42,2.5,15,0
877,798,"Nate Sudfeld, QB",IND,43,41,1.0,21,5
878,798,"Brandon Silvers, QB",TROY,41,41,1.0,14,2
879,798,"Thomas Sperbeck, WR",BSU,4,41,10.3,19,0
881,801,"Manny Wilkins, QB",ASU,5,41,8.2,26,0
882,802,"Isaiah Saunders, RB",IDHO,13,40,3.1,6,0
883,802,"Terry Godwin, WR",UGA,6,40,6.7,28,1
884,802,"Mikell Lands-Davis, RB",GT,18,40,2.2,11,0
885,802,"Josh Allen, QB",WYO,3,40,13.3,24,0
886,806,"Elgin Long, WR",UMASS,3,39,13.0,43,0
887,806,"Michael Birdsong, QB",MRSH,17,39,2.3,38,1
888,806,"Brandon Sheperd, WR",OKST,7,39,5.6,14,0
889,806,"Anthony Brown, CB",PUR,1,39,39.0,39,0
890,806,"Jordan Chunn, RB",TROY,7,39,5.6,29,1
892,RK,"Thomas Stuart, QB",BSU,24,39,1.6,24,2
893,RK,"Kip Patton, TE",TEM,3,39,13.0,19,1
894,RK,"Chase Abbington, RB",MIZ,6,39,6.5,12,0
895,RK,"Chase Litton, QB",MRSH,46,39,.8,19,0
896,815,"Montrel Carter, RB",ULL,10,38,3.8,17,0
897,815,"Reggie Love, WR",WIS,7,38,5.4,18,0
898,815,"Tra'Von Chapman, QB",AKR,31,38,1.2,24,0
899,815,"Kylen Towner, WR",WKU,3,38,12.7,14,0
900,815,"Demry Croft, QB",MINN,9,38,4.2,34,0
901,815,"Nicholas Black, RB",ARMY,10,38,3.8,13,0
903,821,"Chad Voytik, QB",PITT,20,37,1.9,26,1
904,821,"Khris Francis, RB",UNC,11,37,3.4,16,0
905,821,"Shane Cockerille, FB",MD,16,37,2.3,13,0
906,821,"Jordan Willis, FB",MTSU,5,37,7.4,14,0
907,825,"Max DeLorenzo, RB",CONN,13,36,2.8,12,0
908,825,"Jeff Lindquist, QB",WASH,12,36,3.0,8,1
909,825,"Aaron Burbridge, WR",MSU,6,36,6.0,13,0
910,825,"Lorenzo Woodley, RB",UMASS,10,36,3.6,10,0
911,825,"Rodney Adams, WR",USF,5,36,7.2,15,0
912,825,"Sherman Alston, WR",BC,13,36,2.8,12,0
914,RK,"Ray-Ray McCloud, WR",CLEM,5,36,7.2,15,0
915,RK,"Aca'Cedric Ware, RB",USC,12,36,3.0,9,1
916,RK,"Jelani Roberts, WR",NW,10,36,3.6,11,0
917,RK,"Jake LaCoste, RB",AFA,7,36,5.1,10,0
918,835,"Rowdy Simon, RB",TLSA,7,35,5.0,11,1
919,835,"Mikale Wilbon, RB",NEB,9,35,3.9,19,0
920,835,"Adoree' Jackson, CB",USC,6,35,5.8,27,0
921,835,"Sean White, QB",AUB,29,35,1.2,31,0
922,839,"Zach Boden, RB",DUKE,9,34,3.8,10,2
923,839,"Mitchell Harger, RB",ISU,6,34,5.7,9,0
925,841,"Fabian Johnson, RB",WMU,9,34,3.8,11,0
926,841,"Scott Hester, FB",AFA,6,34,5.7,13,1
927,843,"Cody Grice, DL",AKR,19,33,1.7,6,4
928,843,"Cameron Tucker, RB",ILL,7,33,4.7,17,0
929,843,"Tom Hackett, P",UTAH,1,33,33.0,33,0
930,843,"Craig Leonard, QB",CSU,8,33,4.1,8,0
931,843,"Marcus Stamps, RB",SDSU,16,33,2.1,9,0
932,843,"Troy Flutie, QB",BC,23,33,1.4,20,0
933,849,"Cethan Carter, TE",NEB,1,32,32.0,32,1
934,849,"Emiere Scaife, QB",GAST,4,32,8.0,24,0
936,851,"Chase Hansen, QB",UTAH,4,31,7.8,13,0
937,851,"Jack Fields, RB",BSU,9,31,3.4,7,0
938,851,"Lamarq Caldwell, RB",FIU,9,31,3.4,12,0
939,851,"DeKeathan Williams, RB",ARST,6,31,5.2,8,0
940,851,"Tearris Wallace, RB",MEM,7,31,4.4,14,0
941,851,"Brandon Powell, WR",FLA,14,31,2.2,7,0
942,851,"Deltron Hopkins, WR",APP,2,31,15.5,24,0
943,851,"Chris High, FB",NAVY,5,31,6.2,13,0
944,851,"Jason Smith, WR",AUB,5,31,6.2,24,1
945,860,"Miles Shuler, WR",NW,2,30,15.0,26,0
947,RK,"Autrey Golden, WR",UTEP,11,30,2.7,11,1
948,RK,"Rokeem Williams, WR",M-OH,6,30,5.0,11,0
949,RK,"Caleb Kinlaw, RB",WIS,7,30,4.3,10,0
950,864,"Riley Dixon, P",SYR,3,29,9.7,15,0
951,864,"Darius Lee, RB",MEM,9,29,3.2,11,0
952,864,"Quinton White, RB",TTU,9,29,3.2,9,0
953,864,"Berkley Edwards, RB",MINN,5,29,5.8,21,0
954,864,"Kermit Whitfield, WR",FSU,5,29,5.8,15,0
955,864,"Damon Mitchell, WR",ARK,4,29,7.3,15,0
956,864,"Josh Anderson, RB",TROY,10,29,2.9,7,0
958,RK,"Jordan Davis, QB",ULL,21,29,1.4,20,1
959,872,"T.J. Thorpe, WR",UVA,5,28,5.6,26,1
960,872,"Daje Johnson, WR",TEX,6,28,4.7,9,0
961,872,"Warren Ball, RB",OSU,10,28,2.8,7,0
962,872,"Brandon Shippen, WR",TEM,5,28,5.6,20,0
963,872,"Stanton Truitt, WR",AUB,6,28,4.7,19,0
964,872,"Isaiah Ford, WR",VT,4,28,7.0,10,0
965,872,"Treyous Jarrells, RB",CSU,7,28,4.0,14,0
966,872,"Zach Werlinger, QB",ARIZ,2,28,14.0,17,1
967,872,"Andy Isabella, RB",UMASS,3,28,9.3,14,0
969,881,"Drew Lock, QB",MIZ,52,28,.5,33,1
970,882,"Brayle Brown, QB",ULM,14,27,1.9,13,0
971,882,"Drew Kummer, QB",M-OH,26,27,1.0,12,0
972,882,"Gunner Kiel, QB",CIN,32,27,.8,15,2
973,882,"Blake Bogenschutz, QB",UTSA,43,27,.6,42,1
974,882,"Blake Banham, RB",EMU,4,27,6.8,12,0
975,882,"Ryan Yurachek, TE",MRSH,1,27,27.0,27,0
976,882,"Sam Browning, TE",EMU,2,27,13.5,22,0
977,882,"Jacob Stafford, RB",AFA,9,27,3.0,4,0
978,890,"Austin McClellan, RB",GT,3,26,8.7,14,0
980,RK,"Bubba Poole, WR",UTAH,8,26,3.3,15,1
981,RK,"Marshall Wadleigh, RB",TULN,2,26,13.0,24,0
982,RK,"Josh Rosen, QB",UCLA,36,26,.7,37,2
983,RK,"Corey Fatony, P",MIZ,1,26,26.0,26,0
984,895,"Marshall Koehn, PK",IOWA,2,25,12.5,17,0
985,895,"Charles Brunson, RB",UNC,9,25,2.8,11,1
986,895,"Austin Duke, WR",CHAR,9,25,2.8,9,0
987,895,"Tom Hruby, LB",NW,8,25,3.1,9,0
988,895,"Chris Durkin, QB",VT,4,25,6.3,9,0
989,895,"Jalen McCleskey, WR",OKST,4,25,6.3,12,0
991,901,"Phillip Ely, QB",TOL,25,24,1.0,8,1
992,901,"Ryan Higgins, QB",LT,8,24,3.0,13,0
993,901,"Kelvin White, TE",ARMY,2,24,12.0,17,0
994,901,"Nick Stevens, QB",CSU,38,24,.6,15,2
995,901,"Fabiano Hale, RB",CAL,5,24,4.8,8,0
996,901,"Matt VandeBerg, WR",IOWA,2,24,12.0,15,0
997,901,"Lawyer Tillman, RB",AUB,5,24,4.8,8,0
998,901,"Tyrell Johnson, WR",ARIZ,4,24,6.0,11,0
999,901,"Cam Phillips, WR",VT,1,24,24.0,24,0
1000,901,"Darius Durall, RB",SMU,4,24,6.0,13,0
1002,RK,"Kevin Phillips, P",AUB,1,24,24.0,24,0
1003,RK,"Dominique Reed, WR",ARK,4,24,6.0,11,1
1004,913,"Harvey Langi, LB",BYU,5,23,4.6,11,0
1005,913,"James Toland IV, RB",USC,3,23,7.7,17,0
1006,913,"Brandon Johnson, RB",PSU,4,23,5.8,14,0
1007,913,"Chris Montgomery, WR",CHAR,3,23,7.7,12,0
1008,913,"Joshua Walker, RB",NAVY,2,23,11.5,15,1
1009,913,"Brandon Colon, WR",NAVY,1,23,23.0,23,1
1010,913,"Miles Hibbler, RB",KENT,12,23,1.9,6,0
1011,913,"Deltron Sands, RB",ORST,6,23,3.8,8,0
1013,921,"Tre' Parmalee, WR",KU,4,22,5.5,19,1
1014,921,"Noel Thomas, WR",CONN,5,22,4.4,8,0
1015,921,"Corey Nesmith Jr., WR",CHAR,3,22,7.3,20,0
1016,921,"Aaron Criswell, WR",UNLV,2,22,11.0,13,0
1017,921,"Jason Driskel, QB",FAU,28,22,.8,20,1
1018,926,"Josh Grady, QB",FLA,2,21,10.5,14,0
1019,926,"Russell Bellomy, QB",UTSA,7,21,3.0,15,0
1020,926,"Carlos Harris, WR",UNT,6,21,3.5,12,0
1021,926,"Reginald Davis, WR",TTU,1,21,21.0,21,0
1022,926,"Garrett Swanson, PK",FRES,1,21,21.0,21,0
1024,RK,"Dezmond Wortham, RB",WAKE,9,21,2.3,6,0
1025,RK,"Darren Carrington, WR",ORE,1,21,21.0,21,0
1026,RK,"Samajie Grant, WR",ARIZ,4,21,5.3,21,0
1027,RK,"Brooks Barden, QB",CHAR,38,21,.6,31,1
1028,935,"Tommylee Lewis, WR",NIU,8,20,2.5,14,0
1029,935,"Bram Kohlhausen, QB",TCU,7,20,2.9,8,0
1030,935,"Nicholas Conte, P",UVA,2,20,10.0,14,0
1031,935,"Ricky Jones, WR",IND,2,20,10.0,11,0
1032,935,"Juwan Lewis, RB",EMU,4,20,5.0,8,0
1033,935,"Rashard Higgins, WR",CSU,1,20,20.0,20,0
1035,RK,"Drew Morgan, WR",ARK,4,20,5.0,9,0
1036,RK,"Jaleel Awini, DE",COLO,4,20,5.0,8,0
1037,RK,"Justin Goodwin, RB",RUTG,11,20,1.8,6,1
1038,RK,"Myles Campbell, WR",GASO,1,20,20.0,20,1
1039,RK,"Hunter Sharp, WR",USU,8,20,2.5,8,0
1040,RK,"Kent Berger, DL",OHIO,1,20,20.0,20,0
1041,RK,"Ronnie Clark, DB",ALA,5,20,4.0,11,0
1042,RK,"Ryan Davis, WR",AUB,2,20,10.0,28,0
1043,949,"Quinton Pedroza, WR",HAW,3,19,6.3,19,0
1044,949,"Marchie Murdock, WR",ILL,1,19,19.0,19,0
1046,RK,"Corey Willis, WR",CMU,9,19,2.1,14,0
1047,RK,"Josh Marriner, RB",CONN,13,19,1.5,5,0
1048,RK,"Tarean Folston, RB",ND,3,19,6.3,15,0
1049,RK,"Phillip-Michael Williams, RB",MSU,4,19,4.8,10,0
1050,RK,"Trey Ellis, WR",VAN,1,19,19.0,19,0
1051,RK,"Alex Rodriguez, RB",IND,8,19,2.4,8,0
1052,RK,"Antonio Callaway, WR",FLA,3,19,6.3,9,0
1053,RK,"Marquan Greene, WR",GAST,6,19,3.2,6,0
1054,RK,"Karan Higdon, RB",MICH,11,19,1.7,9,0
1055,960,"Corvin Lamb, RB",LOU,7,18,2.6,9,0
1057,961,"Morgan Steward, RB",MIZ,10,18,1.8,6,0
1058,961,"Corey Bennett, RB",OKST,2,18,9.0,10,0
1059,961,"Jacky Marcellus, RB",WVU,8,18,2.3,8,0
1060,961,"Ross Trevoy Taylor-Douglas, RB",MICH,10,18,1.8,9,0
1061,961,"Ralph Kinne, FB",WASH,7,18,2.6,10,0
1062,961,"Elijah Staley, QB",MSST,3,18,6.0,11,0
1063,961,"Serge Trezy, RB",WIS,6,18,3.0,7,0
1064,961,"Cole Webb, QB",CAL,3,18,6.0,9,0
1065,961,"Will Bush, WR",WKU,2,18,9.0,9,1
1066,961,"Marcus McMaryion, QB",ORST,16,18,1.1,9,1
1068,RK,"Alex Delton, QB",KSU,4,18,4.5,8,0
1069,RK,"Devin Glenn, RB",TULN,4,18,4.5,14,0
1070,973,"Bobo Beathard, WR",APP,1,17,17.0,17,1
1071,973,"Colby Hansen, RB",BYU,5,17,3.4,8,0
1072,973,"Nick Vigil, LB",USU,6,17,2.8,8,1
1073,973,"Montay Crockett, WR",GASO,2,17,8.5,20,0
1074,973,"Sean Kelly, P",SC,1,17,17.0,17,0
1075,973,"Brisly Estime, WR",SYR,6,17,2.8,11,0
1076,973,"Case Harrison, RB",FLA,5,17,3.4,8,0
1077,973,"Dominique Heath, WR",KSU,3,17,5.7,8,0
1079,RK,"Juan Day, RB",ARK,4,17,4.3,9,0
1080,982,"Adam Schulz, QB",HOU,3,16,5.3,11,1
1081,982,"Garrett Krstich, QB",SMU,2,16,8.0,8,0
1082,982,"Jordon Vaden, WR",CSU,1,16,16.0,16,0
1083,982,"Trent Domingue, PK",LSU,1,16,16.0,16,1
1084,982,"Brian Vaughn, RB",UTSA,4,16,4.0,6,0
1085,982,"Kennedy Williams, RB",USU,3,16,5.3,12,0
1086,982,"Torii Hunter Jr., WR",ND,5,16,3.2,8,0
1087,989,"Sam Bergen, FB",RUTG,1,15,15.0,15,0
1088,989,"Imani Davis, WR",AKR,4,15,3.8,9,0
1090,RK,"Jaydon Mickens, WR",WASH,6,15,2.5,12,0
1091,RK,"Macgarrett Kings Jr., WR",MSU,4,15,3.8,6,0
1092,RK,"Brent Stockstill, QB",MTSU,51,15,.3,13,2
1093,RK,"Jalin Marshall, RB",OSU,1,15,15.0,15,0
1094,RK,"Stacy Coley, WR",MIA,1,15,15.0,15,0
1095,RK,"J.J. Jones, RB",ORE,4,15,3.8,9,0
1096,RK,"Coleman Key, QB",CSU,9,15,1.7,14,0
1097,RK,"Jauan Jennings, WR",TENN,7,15,2.1,12,0
1098,RK,"Tyraiq Beals, WR",CONN,1,15,15.0,15,0
1099,RK,"Derrick Gore, RB",ALA,6,15,2.5,8,0
1101,1001,"Amir Carlisle, WR",ND,4,14,3.5,9,0
1102,1001,"Kenny Bias, WR",UTSA,3,14,4.7,11,0
1103,1001,"Tucker Tuberville, QB",AUB,2,14,7.0,9,0
1104,1001,"Brad Smith, RB",TOL,4,14,3.5,5,0
1105,1001,"Clay Holgorsen, QB",MEM,4,14,3.5,6,0
1106,1001,"Stefan Smith, RB",USC,3,14,4.7,7,0
1107,1001,"Donte Jackson, DB",LSU,1,14,14.0,14,0
1108,1001,"Quinten Dormady, QB",TENN,9,14,1.6,6,0
1109,1001,"Corbin White, RB",UTSA,4,14,3.5,8,0
1110,1001,"Derrick Dick, WR",UTSA,7,14,2.0,6,0
1112,RK,"Michael Walker, WR",BC,1,14,14.0,14,0
1113,RK,"Tavares Martin Jr., WR",WSU,3,14,4.7,11,0
1114,1013,"Derek Watt, FB",WIS,4,13,3.3,7,0
1115,1013,"Daniel Braverman, WR",WMU,2,13,6.5,8,0
1116,1013,"Justin Wain, P",CONN,1,13,13.0,13,0
1117,1013,"Travin Dural, WR",LSU,3,13,4.3,17,0
1118,1013,"Jhajuan Seales, WR",OKST,1,13,13.0,13,0
1119,1013,"Nick O'Toole, P",WVU,1,13,13.0,13,0
1120,1013,"Deonte Clyburn, LB",CSU,1,13,13.0,13,0
1121,1013,"Ryan Burns, QB",STAN,4,13,3.3,5,0
1123,RK,"Demarcus Godfrey, RB",GASO,2,13,6.5,8,0
1124,RK,"Tommy Openshaw, PK",VAN,1,13,13.0,13,0
1125,RK,"David Yancey, RB",PUR,5,13,2.6,6,0
1126,RK,"Terrell Johnson, WR",BSU,1,13,13.0,13,0
1127,RK,"Pig Howard, WR",TENN,2,13,6.5,12,0
1128,RK,"Justin Hobbs, WR",TLSA,3,13,4.3,6,0
1129,RK,"DJ Nelson, QB",USU,1,13,13.0,13,0
1130,RK,"Marcel Joly, RB",IOWA,2,13,6.5,8,0
1131,RK,"Akilian Butler, WR",BSU,2,13,6.5,10,1
1132,RK,"Peyton Hall, WR",UTSA,3,13,4.3,11,0
1134,RK,"Kirk Merritt, WR",ORE,3,13,4.3,10,0
1135,RK,"Eddie Daugherty, WR",EMU,5,13,2.6,8,0
1136,RK,"Orryn Clark, WR",NMSU,2,13,6.5,14,0
1137,1034,"Sam B. Richardson, QB",ISU,47,12,.3,19,1
1138,1034,"Tim Gay, RB",TXST,1,12,12.0,12,0
1139,1034,"Dallas Tidwell, QB",TROY,4,12,3.0,9,0
1140,1034,"Eric Davidson, RB",APP,6,12,2.0,7,0
1141,1034,"Ben Lewis, RB",SYR,5,12,2.4,17,0
1142,1034,"Demetrius Frazier, WR",MTSU,2,12,6.0,6,0
1143,1034,"Chaz Anderson, WR",BSU,2,12,6.0,8,0
1145,1041,"Corey Jones, WR",TOL,3,12,4.0,16,0
1146,1041,"Mark Herndon, RB",FLA,4,12,3.0,12,0
1147,1041,"Jaquan White, WR",UTEP,3,12,4.0,5,0
1148,1041,"Darrion Hancock, RB",SJSU,4,12,3.0,5,0
1149,1041,"Jack Milas, QB",BALL,6,12,2.0,13,0
1150,1041,"Trace McSorley, QB",PSU,6,12,2.0,8,0
1151,1041,"DeAndre Thompkins, WR",PSU,5,12,2.4,6,1
1152,1041,"Grayson Muehlstein, QB",TCU,3,12,4.0,6,0
1153,1041,"Greg Stroman, CB",VT,7,12,1.7,6,0
1154,1041,"Diquon Woodhouse, RB",UNM,7,12,1.7,7,1
1156,RK,"Teddy Ruben, WR",TROY,2,12,6.0,15,0
1157,RK,"Callen Hightower, WR",IDHO,2,12,6.0,10,0
1158,RK,"Nick Bingham, RB",TXST,5,12,2.4,10,1
1159,1054,"Herb Waters, WR",MIA,2,11,5.5,10,0
1160,1054,"Kolby Listenbee, WR",TCU,1,11,11.0,11,0
1161,1054,"Hakeem Lawrence, RB",AKR,6,11,1.8,3,0
1162,1054,"Joe Hansley, WR",CSU,3,11,3.7,6,0
1163,1054,"Malcolm Culmer, WR",MD,1,11,11.0,11,0
1164,1054,"Corey Davis, WR",WMU,1,11,11.0,11,0
1165,1054,"Gabe Myles, WR",MSST,7,11,1.6,9,1
1167,RK,"Rod Talley, RB",SC,2,11,5.5,10,0
1168,RK,"William Stanback, OL",UCF,12,11,.9,7,0
1169,RK,"Mitchell Juergens, WR",BYU,3,11,3.7,7,0
1170,RK,"Logan Cooke, PK",MSST,1,11,11.0,11,0
1171,RK,"Jalan McClendon, QB",NCST,5,11,2.2,7,0
1172,RK,"Thomas Banks, RB",GASO,7,11,1.6,3,0
1173,RK,"Tyler Fox, WR",USU,1,11,11.0,11,0
1174,RK,"Nick Jacobs, P",MEM,1,11,11.0,11,0
1175,RK,"Stephan Johnson, S",TXST,2,11,5.5,6,0
1176,RK,"Jacom Brimhall, RB",ASU,3,11,3.7,6,0
1178,RK,"De'Andre Montgomery, DB",M-OH,1,11,11.0,11,0
1179,RK,"Lumi Kaba, PK",TXST,1,11,11.0,11,0
1180,1073,"Chris Moore, WR",CIN,2,10,5.0,6,0
1181,1073,"Marvin Hall, WR",WASH,2,10,5.0,7,0
1182,1073,"Robby Anderson, WR",TEM,3,10,3.3,5,0
1183,1073,"Trey Holtz, QB",TEX,2,10,5.0,10,0
1184,1073,"Marcus McGill, WR",BUFF,1,10,10.0,10,0
1185,1073,"Toloa'i Ho Ching, RB",BYU,2,10,5.0,5,0
1186,1073,"Zack Rogers, P",UNM,2,10,5.0,8,0
1187,1073,"Turner Smiley, WR",UNT,1,10,10.0,10,0
1189,1081,"Pat McFadden, RB",STAN,3,10,3.3,6,0
1190,1081,"Keller Chryst, QB",STAN,6,10,1.7,9,0
1191,1081,"James Washington, WR",OKST,1,10,10.0,10,0
1192,1081,"Ike Lewis, WR",APP,2,10,5.0,8,0
1193,1081,"Leighton Vander Esch, LB",BSU,1,10,10.0,10,0
1194,1081,"Steven Williams, RB",FSU,4,10,2.5,4,0
1195,1087,"Jack Allen, C",MSU,1,9,9.0,9,1
1196,1087,"Tony Daniel, QB",BUFF,2,9,4.5,8,1
1197,1087,"Malcolm Robinson, WR",BUFF,2,9,4.5,7,0
1198,1087,"Quayvon Hicks, FB",UGA,4,9,2.3,6,0
1200,RK,"Mitchell Paige, WR",IND,2,9,4.5,7,0
1201,RK,"Ernest Calhoun, WR",KENT,4,9,2.3,6,0
1202,RK,"Fred Ross, WR",MSST,1,9,9.0,9,0
1203,RK,"Wyatt Shallman, RB",MICH,3,9,3.0,5,0
1204,RK,"Freddie Stevenson, FB",FSU,3,9,3.0,6,0
1205,RK,"Jackson Porter, WR",UMASS,1,9,9.0,9,0
1206,RK,"Keyan Williams, WR",FRES,1,9,9.0,9,0
1207,RK,"Chase Forrest, QB",CAL,3,9,3.0,8,0
1208,RK,"Todd Boyd, WR",GAST,1,9,9.0,9,0
1209,RK,"Brett Winnegan, RB",UTSA,2,9,4.5,5,0
1211,RK,"D.J. Moore, WR",MD,1,9,9.0,9,0
1212,RK,"Penny Hart, WR",GAST,2,9,4.5,5,0
1213,RK,"DeAndre McNeal, TE",TEX,1,9,9.0,9,0
1214,1104,"Tyler Mayes, P",TEM,1,8,8.0,8,0
1215,1104,"Justin Vele, FB",HAW,4,8,2.0,4,0
1216,1104,"Rex Rollins, RB",UNT,2,8,4.0,6,0
1217,1104,"Desroy Maxwell, TE",NIU,2,8,4.0,7,0
1218,1104,"Kenny Golladay, WR",NIU,5,8,1.6,4,1
1219,1104,"Levern Jacobs, WR",MD,2,8,4.0,9,0
1220,1104,"Fred McRae IV, WR",M-OH,2,8,4.0,6,0
1222,RK,"Justin Berger, WR",WYO,1,8,8.0,8,1
1223,RK,"Nick Ellis, P",TOL,2,8,4.0,18,0
1224,RK,"Drake Kulick, LB",IOWA,3,8,2.7,4,0
